elapsed_ms,inlet_temp_c,inlet_rh_pct,outlet_temp_c,outlet_rh_pct,fan_pct,inlet_ok,outlet_ok
294496,19.0,48.0,24.0,38.0,75,1,1
297191,19.0,48.0,24.0,38.0,75,1,1
299886,19.0,48.0,24.0,38.0,75,1,1
302582,19.0,48.0,24.0,38.0,75,1,1
305276,20.0,48.0,24.0,38.0,75,1,1
307973,20.0,48.0,24.0,38.0,75,1,1
310667,20.0,48.0,24.0,38.0,75,1,1
313362,20.0,47.0,24.0,38.0,75,1,1
316058,20.0,47.0,24.0,38.0,75,1,1
318753,20.0,47.0,24.0,38.0,75,1,1
321448,20.0,47.0,24.0,38.0,75,1,1
324144,20.0,47.0,24.0,38.0,75,1,1
326839,20.0,47.0,24.0,38.0,75,1,1
329535,20.0,47.0,24.0,38.0,75,1,1
332230,20.0,47.0,24.0,38.0,75,1,1
334925,20.0,47.0,24.0,38.0,75,1,1
337620,20.0,48.0,24.0,38.0,75,1,1
340316,20.0,48.0,24.0,38.0,75,1,1
343011,20.0,48.0,24.0,38.0,75,1,1
345706,20.0,48.0,24.0,39.0,75,1,1
348401,20.0,48.0,24.0,39.0,75,1,1
351096,20.0,48.0,24.0,39.0,75,1,1
353792,20.0,48.0,24.0,39.0,75,1,1
356487,20.0,48.0,24.0,39.0,75,1,1
359182,20.0,48.0,24.0,39.0,75,1,1
361877,20.0,48.0,24.0,39.0,75,1,1
364572,20.0,48.0,24.0,39.0,75,1,1
367267,19.0,48.0,24.0,39.0,75,1,1
369963,19.0,48.0,23.0,39.0,75,1,1
372658,19.0,48.0,23.0,39.0,75,1,1
375354,19.0,48.0,23.0,39.0,75,1,1
378049,19.0,48.0,23.0,39.0,75,1,1
380745,19.0,48.0,23.0,39.0,75,1,1
